股票代码,股票简称,最新公告日期,每股收益(元),营业总收入(元),净利润(元),净资产收益率(%),同比增长(%),同比增长(%),每股净资产(元),每股经营现金流量(元),销售毛利率(%),季度环比增长(%),季度环比增长(%),利润分配,所处行业
000537,广宇发展,2023-04-28 00:00:00,0.13,873727134.5,234595264.45,1.41,10.3536811528,73.25,8.94114401559,0.299187528883,54.5070359355,10.4413,2280.0833,None,电力行业
000538,云南白药,2023-04-27 00:00:00,0.85,10512750996.14,1517988356.56,3.87,11.487422242,66.01,22.277315814811,0.408347429172,27.4201147515,9.8203,118.0299,None,中药
000539,粤电力A,2023-04-22 00:00:00,0.0168,13046268148,88429494,0.44,14.5470192869,119.71,3.860774752195,0.056904213333,7.5811998863,-0.9751,106.8851,None,电力行业
000540,*ST中天,2023-04-29 00:00:00,-0.242,5487881623.75,-1690532799.5,-16.15,1.0183523907,-74.61,-0.857717991527,0.567991388728,-13.2156451263,346.7801,85.3002,None,房地产开发
000541,佛山照明,2023-04-29 00:00:00,0.0491,2193613606.54,66221546.43,1.27,7.031439475,6.28,3.845643026775,0.054859422733,17.3439417473,-6.666,586.819,None,家电行业
000543,皖能电力,2023-04-28 00:00:00,0.06,5806365093.39,125827924.5,0.99,-8.6518624107,-8.56,5.657676463218,0.259410185192,4.5508555153,0.8036,1598.8264,None,电力行业
000544,中原环保,2023-04-28 00:00:00,0.16,1050283996.6,158945897.54,2.35,-10.3923366529,23.46,7.016734480399,-0.999825107692,37.2047246407,-46.8817,715.8164,None,公用事业
000545,金浦钛业,2023-04-29 00:00:00,-0.0626,593960536.66,-61820026.26,-3.59,-19.6092635552,-279.79,1.48659280496,0.03579677271,-3.8562841412,2.3028,63.4996,None,化学原料
000546,金圆股份,2023-04-29 00:00:00,-0.019,770308733.64,-14873807.25,-0.31,-22.8176702437,-3.47,6.20911590505,0.351363595564,-5.4063356134,-37.0186,96.5835,None,环保行业
000547,航天发展,2023-04-29 00:00:00,-0.07,542469136.76,-115250238.63,-1.36,-46.1600417897,-179.89,5.506803310338,-0.033355593823,16.0713925885,-44.9744,22.455,None,通信设备
000548,湖南投资,2023-04-27 00:00:00,0.039,109000814.01,19259776.02,1.03,45.8028511252,134.27,3.765998585289,0.43263549321,48.6718667121,-36.1542,69.6075,None,铁路公路
000550,江铃汽车,2023-04-27 00:00:00,0.21,7525930457,182746938,1.96,4.0638716722,-5.79,10.920309762122,-0.835861726061,13.3814344253,-6.7265,-7.6403,None,汽车整车
000551,创元科技,2023-04-29 00:00:00,0.0961,1079451537.31,38439773.91,1.67,7.9325891666,1.28,5.723637291358,-0.032735166834,21.9164284892,-4.2288,-13.0997,None,环保行业
000552,甘肃能化,2023-04-28 00:00:00,0.2078,3156906244.21,958239752,7.12,-2.2346432429,-25.95,2.97238707149,0.100279937873,47.9837978739,-60.4227,-61.0348,None,煤炭行业
000553,安道麦A,2023-04-25 00:00:00,0.036,8610576000,83273000,0.36,-4.4966216138,-80.53,9.847670672292,-1.246953956709,24.5946844903,-7.454,152.4544,None,农药兽药
000554,泰山石油,2023-04-28 00:00:00,0.016,816303567.33,7588347.97,0.81,9.2202843962,167.13,1.9588178437,-0.31191577675,7.6948733748,45.5241,309.1032,None,石油行业
000555,神州信息,2023-04-29 00:00:00,0.0118,1962258500.58,11421437.36,0.19,1.955315576,-63.33,6.190939441297,-1.256338022993,15.3896123717,-59.3249,-86.7448,None,互联网服务
